Name,Species,Type,Gender,Origin,Status,location,Image,Character URL
Rick Sanchez,Human,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/293.jpeg,https://rickandmortyapi.com/api/character/293
Morty Smith,Human,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/234.jpeg,https://rickandmortyapi.com/api/character/234
Summer Smith,Human,,Female,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",Alive,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",https://rickandmortyapi.com/api/character/avatar/339.jpeg,https://rickandmortyapi.com/api/character/339
Beth Smith,Human,,Female,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",Alive,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",https://rickandmortyapi.com/api/character/avatar/39.jpeg,https://rickandmortyapi.com/api/character/39
Jerry Smith,Human,,Male,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",Alive,"{'name': ""Earth (Evil Rick's Target Dimension)"", 'url': 'https://rickandmortyapi.com/api/location/34'}",https://rickandmortyapi.com/api/character/avatar/177.jpeg,https://rickandmortyapi.com/api/character/177
Abadango Cluster Princess,Alien,,Female,"{'name': 'Abadango', 'url': 'https://rickandmortyapi.com/api/location/2'}",Alive,"{'name': 'Abadango', 'url': 'https://rickandmortyapi.com/api/location/2'}",https://rickandmortyapi.com/api/character/avatar/6.jpeg,https://rickandmortyapi.com/api/character/6
Abradolf Lincler,Human,Genetic experiment,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",unknown,"{'name': 'Testicle Monster Dimension', 'url': 'https://rickandmortyapi.com/api/location/21'}",https://rickandmortyapi.com/api/character/avatar/7.jpeg,https://rickandmortyapi.com/api/character/7
Adjudicator Rick,Human,,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/8.jpeg,https://rickandmortyapi.com/api/character/8
Agency Director,Human,,Male,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/9.jpeg,https://rickandmortyapi.com/api/character/9
Alan Rails,Human,Superhuman (Ghost trains summoner),Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': ""Worldender's lair"", 'url': 'https://rickandmortyapi.com/api/location/4'}",https://rickandmortyapi.com/api/character/avatar/10.jpeg,https://rickandmortyapi.com/api/character/10
Albert Einstein,Human,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/11.jpeg,https://rickandmortyapi.com/api/character/11
Alexander,Human,,Male,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",Dead,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/12.jpeg,https://rickandmortyapi.com/api/character/12
Alien Googah,Alien,,unknown,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/13.jpeg,https://rickandmortyapi.com/api/character/13
Alien Morty,Alien,,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/14.jpeg,https://rickandmortyapi.com/api/character/14
Alien Rick,Alien,,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/15.jpeg,https://rickandmortyapi.com/api/character/15
Amish Cyborg,Alien,"Parasite, Cyborg",Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/16.jpeg,https://rickandmortyapi.com/api/character/16
Annie,Human,,Female,"{'name': 'Earth (C-137)', 'url': 'https://rickandmortyapi.com/api/location/1'}",Alive,"{'name': 'Anatomy Park', 'url': 'https://rickandmortyapi.com/api/location/5'}",https://rickandmortyapi.com/api/character/avatar/17.jpeg,https://rickandmortyapi.com/api/character/17
Antenna Morty,Human,Human with antennae,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/18.jpeg,https://rickandmortyapi.com/api/character/18
Antenna Rick,Human,Human with antennae,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/19.jpeg,https://rickandmortyapi.com/api/character/19
Ants in my Eyes Johnson,Human,Human with ants in his eyes,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/20.jpeg,https://rickandmortyapi.com/api/character/20
Aqua Morty,Humanoid,Fish-Person,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/21.jpeg,https://rickandmortyapi.com/api/character/21
Aqua Rick,Humanoid,Fish-Person,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/22.jpeg,https://rickandmortyapi.com/api/character/22
Arcade Alien,Alien,,Male,"{'name': 'unknown', 'url': ''}",unknown,"{'name': 'Immortality Field Resort', 'url': 'https://rickandmortyapi.com/api/location/7'}",https://rickandmortyapi.com/api/character/avatar/23.jpeg,https://rickandmortyapi.com/api/character/23
Armagheadon,Alien,Cromulon,Male,"{'name': 'Signus 5 Expanse', 'url': 'https://rickandmortyapi.com/api/location/22'}",Alive,"{'name': 'Signus 5 Expanse', 'url': 'https://rickandmortyapi.com/api/location/22'}",https://rickandmortyapi.com/api/character/avatar/24.jpeg,https://rickandmortyapi.com/api/character/24
Armothy,unknown,Self-aware arm,Male,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",Dead,"{'name': 'Post-Apocalyptic Earth', 'url': 'https://rickandmortyapi.com/api/location/8'}",https://rickandmortyapi.com/api/character/avatar/25.jpeg,https://rickandmortyapi.com/api/character/25
Arthricia,Alien,Cat-Person,Female,"{'name': 'Purge Planet', 'url': 'https://rickandmortyapi.com/api/location/9'}",Alive,"{'name': 'Purge Planet', 'url': 'https://rickandmortyapi.com/api/location/9'}",https://rickandmortyapi.com/api/character/avatar/26.jpeg,https://rickandmortyapi.com/api/character/26
Artist Morty,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Citadel of Ricks', 'url': 'https://rickandmortyapi.com/api/location/3'}",https://rickandmortyapi.com/api/character/avatar/27.jpeg,https://rickandmortyapi.com/api/character/27
Attila Starwar,Human,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/28.jpeg,https://rickandmortyapi.com/api/character/28
Baby Legs,Human,Human with baby legs,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'Interdimensional Cable', 'url': 'https://rickandmortyapi.com/api/location/6'}",https://rickandmortyapi.com/api/character/avatar/29.jpeg,https://rickandmortyapi.com/api/character/29
Baby Poopybutthole,Poopybutthole,,Male,"{'name': 'unknown', 'url': ''}",Alive,"{'name': 'unknown', 'url': ''}",https://rickandmortyapi.com/api/character/avatar/30.jpeg,https://rickandmortyapi.com/api/character/30
Baby Wizard,Alien,Parasite,Male,"{'name': 'unknown', 'url': ''}",Dead,"{'name': 'Earth (Replacement Dimension)', 'url': 'https://rickandmortyapi.com/api/location/20'}",https://rickandmortyapi.com/api/character/avatar/31.jpeg,https://rickandmortyapi.com/api/character/31
